,x,y,sigma,num_iteration,topographic_error,quantization_error,elapsed_seconds,seconds_per_iteration
500,9,4,0.75,25000,0.5266255989048597,120.67179827284869,92.84732946753502,0.0037138931787014007
501,6,8,1.0,25000,0.5267624914442163,118.78356640979764,149.08492605481297,0.005963397042192519
502,9,5,1.0,50000,0.5281314168377823,119.01999303065693,284.25587623752654,0.00568511752475053
503,8,6,1.0,10000,0.5290896646132786,118.7984433703429,65.88801394123584,0.006588801394123584
504,8,6,1.0,25000,0.5301848049281315,118.72457938118535,151.2202665489167,0.006048810661956668
505,5,6,1.0,100000,0.5312799452429843,121.57507917790379,260.8652082430199,0.002608652082430199
506,4,3,0.5,25000,0.5318275154004107,126.8841346907662,31.407510308548808,0.0012563004123419524
507,10,4,1.0,100000,0.5319644079397673,119.8174540795756,457.82826162781566,0.0045782826162781565
508,4,9,1.0,50000,0.5319644079397673,120.20376184883426,170.44556825980544,0.0034089113651961087
509,5,5,0.75,25000,0.5319644079397673,122.84210798616819,54.37716941628605,0.002175086776651442
510,8,3,0.5,10000,0.5323750855578371,122.78927205747186,27.56352740805596,0.0027563527408055962
511,10,5,1.0,10000,0.5326488706365503,118.40957402847474,74.60734286904335,0.007460734286904335
512,6,7,1.0,50000,0.5326488706365503,119.39482278589976,239.94716821145266,0.004798943364229053
513,8,8,1.0,10000,0.534154688569473,117.2845013549559,87.65349165443331,0.008765349165443331
514,5,10,1.0,10000,0.534154688569473,118.37122236607985,66.79912530630827,0.006679912530630827
515,6,6,0.75,25000,0.5349760438056126,120.33065369369363,89.67731746193022,0.0035870926984772084
516,7,7,1.0,10000,0.5353867214236824,118.1216985769962,66.67381699103862,0.0066673816991038625
517,9,4,1.0,100000,0.5363449691991786,120.26916983015963,353.89520386978984,0.0035389520386978983
518,7,6,0.75,10000,0.5370294318959616,119.3038894775532,59.86054844036698,0.005986054844036698
519,4,6,0.75,25000,0.5373032169746749,122.41608156298577,51.449005054309964,0.0020579602021723984
520,3,10,1.0,100000,0.5375770020533881,121.45181629962437,291.0946055650711,0.0029109460556507112
521,6,9,1.0,25000,0.5378507871321013,118.03873842219346,165.0814133360982,0.006603256533443928
522,4,4,0.1,10000,0.5390828199863107,125.31301228074327,21.882654980756342,0.002188265498075634
523,5,5,1.0,100000,0.5393566050650239,122.11028281599866,190.491200924851,0.00190491200924851
524,3,6,0.1,100000,0.5393566050650239,124.0335213062146,557.2307795993984,0.005572307795993984
525,7,9,1.0,25000,0.5422313483915127,117.34994536048146,208.03420764952898,0.00832136830598116
526,4,5,0.5,10000,0.5423682409308692,123.63720665191097,24.34535363037139,0.0024345353630371392
